epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2889,1.29648,1.52329,0.7981,0.0047,1.95913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411877,0.000411877,0.000411877
2,63.4116,1.24668,1.39611,0.66802,0.00446,1.81636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664492,0.000664492,0.000664492
3,93.2304,1.20891,1.35441,0.61385,0.00428,1.7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752107,0.000752107,0.000752107
4,124.507,1.18164,1.31729,0.57574,0.00413,1.64204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,221.571,1.1684,1.29742,0.55955,0.00404,1.61011,0.67489,0.6515,0.6265,0.3867,0.65729,0.6341,0.61105,0.3024,1.31541,1.44944,0.70849,0.00459,0,0.00026,0.00026,0.00026
