epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9931,1.32005,1.58393,0.84722,0.00467,1.94273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411325,0.000411325,0.000411325
2,57.9306,1.27112,1.42064,0.71863,0.00441,1.77717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664049,0.000664049,0.000664049
3,86.6931,1.24593,1.38376,0.67098,0.00427,1.70218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751774,0.000751774,0.000751774
4,114.101,1.22555,1.35807,0.64481,0.00419,1.64546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,193.125,1.21582,1.33673,0.62784,0.00415,1.60284,0.70274,0.60909,0.61395,0.37672,0.65658,0.60588,0.58625,0.29497,1.33238,1.45273,0.71104,0.00472,0,0.00026,0.00026,0.00026
