epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0676,1.31708,1.54052,0.79874,0.00477,1.98526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412698,0.000412698,0.000412698
2,167.086,1.2712,1.41393,0.68371,0.00456,1.81284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000665151,0.000665151,0.000665151
3,204.63,1.2401,1.3618,0.6265,0.0044,1.69357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752603,0.000752603,0.000752603
4,240.581,1.21677,1.32148,0.58825,0.00428,1.62537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,993.825,1.20099,1.28702,0.55986,0.00421,1.56835,0.6302,0.61182,0.59281,0.36139,0.64055,0.60718,0.58004,0.28713,1.333,1.42498,0.7002,0.00467,0,0.00026,0.00026,0.00026
