epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3064,1.30993,1.56609,0.81532,0.00511,1.96895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412234,0.000412234,0.000412234
2,65.1941,1.25562,1.42655,0.70187,0.00478,1.78815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664778,0.000664778,0.000664778
3,97.463,1.2216,1.36931,0.65153,0.00455,1.69354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752323,0.000752323,0.000752323
4,129.677,1.19654,1.3355,0.61604,0.00437,1.62641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,190.977,1.18329,1.31725,0.59842,0.00429,1.589,0.71508,0.6248,0.62684,0.38034,0.69431,0.59575,0.59816,0.30244,1.32927,1.43827,0.70355,0.00464,0,0.00026,0.00026,0.00026
