epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1517,1.31704,1.58177,0.82082,0.00494,2.04166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412234,0.000412234,0.000412234
2,70.1526,1.26344,1.42274,0.68935,0.00468,1.83288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664778,0.000664778,0.000664778
3,103.622,1.23438,1.37058,0.63708,0.00452,1.72751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752323,0.000752323,0.000752323
4,137.831,1.21266,1.32367,0.60007,0.00441,1.64657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,517.666,1.20087,1.30334,0.58361,0.00435,1.60566,0.67147,0.61532,0.61868,0.37329,0.62024,0.61734,0.59666,0.2958,1.33445,1.43127,0.69253,0.00469,0,0.00026,0.00026,0.00026
