epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9272,1.33271,1.57538,0.80114,0.00494,1.93468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411822,0.000411822,0.000411822
2,64.2995,1.28454,1.42703,0.67686,0.0047,1.75308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664448,0.000664448,0.000664448
3,94.6743,1.25769,1.38758,0.63715,0.00458,1.69176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752074,0.000752074,0.000752074
4,263.743,1.2365,1.35219,0.60358,0.00447,1.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,332.387,1.22235,1.33178,0.58155,0.00439,1.60477,0.68027,0.63,0.61559,0.37687,0.66167,0.61301,0.59239,0.29285,1.35356,1.46261,0.7295,0.00469,0,0.00026,0.00026,0.00026
