epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3479,1.32758,1.59141,0.7832,0.00491,1.97946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411458,0.000411458,0.000411458
2,60.6168,1.28285,1.45581,0.6719,0.00468,1.79957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664156,0.000664156,0.000664156
3,88.8486,1.25082,1.41351,0.62287,0.00448,1.70705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751854,0.000751854,0.000751854
4,117.399,1.21994,1.37616,0.59225,0.00429,1.64382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,184.17,1.20665,1.3535,0.57132,0.0042,1.60341,0.66934,0.60287,0.60201,0.36818,0.66146,0.60019,0.58841,0.29144,1.36174,1.47184,0.73662,0.00479,0,0.00026,0.00026,0.00026
