epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7657,1.34039,1.55692,0.83898,0.00506,1.90477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004125,0.0004125,0.0004125
2,156.229,1.29054,1.42756,0.71841,0.00478,1.71066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664992,0.000664992,0.000664992
3,191.561,1.25754,1.38245,0.65133,0.00464,1.62326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752483,0.000752483,0.000752483
4,228.213,1.22785,1.33246,0.61464,0.00449,1.54169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,295.395,1.21754,1.31472,0.5937,0.00444,1.50547,0.66707,0.6272,0.60028,0.36647,0.67948,0.56803,0.58074,0.28656,1.31968,1.41908,0.70946,0.00462,0,0.00026,0.00026,0.00026
