epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1047,1.3497,1.60767,0.84446,0.00494,2.03211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412281,0.000412281,0.000412281
2,565.628,1.29573,1.44815,0.72987,0.00467,1.85423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664816,0.000664816,0.000664816
3,599.858,1.26239,1.39884,0.67615,0.00454,1.76109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000752351,0.000752351,0.000752351
4,633.13,1.23838,1.35993,0.64378,0.00441,1.69341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
5,710.826,1.22806,1.34246,0.62378,0.00435,1.6438,0.69284,0.62103,0.6089,0.37087,0.67679,0.60403,0.58163,0.28929,1.34025,1.44261,0.68622,0.00474,0,0.00026,0.00026,0.00026
