algorithm,success,runtime_seconds,duration_seconds,energy_kwh,co2_kg,tracking_backend,assumed_watts
gradient_difference,True,1319.0430309772491,1319.043817667,0.012824037116206943,0.005129614846482777,estimate,35.0
scrub,True,1039.1861698627472,816.7913867079999,0.007941027370772222,0.003176410948308889,estimate,35.0
ssd,True,1949.7905540466309,454.661952292,0.004420324536172222,0.0017681298144688888,estimate,35.0
sisa,True,4569.099850893021,2280.283961792,0.02216942740631111,0.008867770962524444,estimate,35.0
